n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,config,strategy
218,0,9.106182185819005,0.0,74.10260457657023,0.2380345335394167,32,0.6261403962237734,0,Homogeneous (4x40 kW),FCFS
197,0,11.300290796080699,0.0,95.22361226143312,0.22265762262850577,35,0.5623027525403038,1,Homogeneous (4x40 kW),FCFS
232,1,8.968040086937581,0.0,69.55658746295785,0.22523166663976324,28,0.6908931654403245,2,Homogeneous (4x40 kW),FCFS
218,0,11.847879061379253,0.0,127.56140648558357,0.1677169152269957,35,0.6264968033849325,3,Homogeneous (4x40 kW),FCFS
208,0,4.957397556803489,0.0,49.59013772903836,0.17976263169381057,13,0.5835819270576857,4,Homogeneous (4x40 kW),FCFS
215,0,9.669832192796733,0.0,96.76221179418098,0.22886440406814043,30,0.6406427157818828,5,Homogeneous (4x40 kW),FCFS
211,0,9.376779051905142,0.0,83.05364976606438,0.22491140130142892,25,0.6599178553236114,6,Homogeneous (4x40 kW),FCFS
188,0,8.615644912363923,0.0,89.9948154251424,0.1804891016274626,25,0.5609692093814944,7,Homogeneous (4x40 kW),FCFS
222,0,8.993798187953809,0.0,91.36112456583032,0.2008513996684848,25,0.6184066849261242,8,Homogeneous (4x40 kW),FCFS
232,2,11.515541809066129,0.0,76.52266976374722,0.28494279071992124,39,0.6735400095905357,9,Homogeneous (4x40 kW),FCFS
216,0,15.594457879862814,0.0,90.86131967305664,0.3186451921697276,50,0.6240509250524024,10,Homogeneous (4x40 kW),FCFS
216,0,6.591485337539325,0.0,80.65829164903516,0.15095157773803525,17,0.6199962865085252,11,Homogeneous (4x40 kW),FCFS
213,0,21.554746261583972,0.0,128.37118663319143,0.26122436371198654,55,0.638916249084617,12,Homogeneous (4x40 kW),FCFS
218,0,9.266924532694837,0.0,79.31860497555135,0.22013273322055443,31,0.628528523113139,13,Homogeneous (4x40 kW),FCFS
199,0,19.240727283031493,0.0,144.44345501277394,0.22970065158708236,44,0.6012258115118739,14,Homogeneous (4x40 kW),FCFS
218,0,8.82786918260708,0.0,100.81347020565408,0.20749908483425344,29,0.6261403962237734,0,Homogeneous (4x40 kW),SRPT
197,0,11.391610910337125,0.0,158.50151036369425,0.16654472233845033,29,0.5629247151617701,1,Homogeneous (4x40 kW),SRPT
232,1,8.904267252183153,0.0,163.86355547738776,0.15850170320725834,22,0.6908931654403243,2,Homogeneous (4x40 kW),SRPT
218,0,11.204734637270095,0.0,216.43635385413518,0.12807897667083565,26,0.6264076046565924,3,Homogeneous (4x40 kW),SRPT
208,0,4.957397556803489,0.0,64.61915235110064,0.1681646479675776,12,0.5835819270576857,4,Homogeneous (4x40 kW),SRPT
215,0,9.731907897896676,0.0,118.43942501594529,0.2057958171987309,28,0.6405405633306568,5,Homogeneous (4x40 kW),SRPT
211,0,9.40993945654546,0.0,100.1507475990278,0.18633016755257395,20,0.6599178553236112,6,Homogeneous (4x40 kW),SRPT
188,0,8.70772752142585,0.0,126.93814808069328,0.15867067162994303,24,0.5609692093814943,7,Homogeneous (4x40 kW),SRPT
222,0,8.28730555021026,0.0,129.15989813674514,0.1673091649955757,22,0.6184066849261242,8,Homogeneous (4x40 kW),SRPT
232,2,11.355666103955809,0.0,111.4522106657414,0.24258479167133323,37,0.6735400095905357,9,Homogeneous (4x40 kW),SRPT
216,0,15.727532669664814,0.0,179.98184812968884,0.25794741654862474,44,0.6240509250524024,10,Homogeneous (4x40 kW),SRPT
216,0,6.28818636930908,0.0,140.97457930242035,0.12081915543664443,15,0.6199962865085251,11,Homogeneous (4x40 kW),SRPT
213,0,19.16847551872352,0.0,363.71716977845426,0.15627329557892763,42,0.638916249084617,12,Homogeneous (4x40 kW),SRPT
